Rk,Player,Pos,Team,Gms,FG Made,FG Att,Pct,Long,XP Made,XP Att,PPG,Fantasy Points
1,Stephen Gostkowski,K,NE,16,29,35.7,80.6,0,51,52,8.6,138
2,Matt Bryant,K,ATL,16,29,36.3,80.6,0,45,46,8.2,132
3,Justin Tucker,K,BAL,16,32,37.1,86.5,0,35,35,8.2,131
4,Dan Bailey,K,DAL,16,28,32.8,84.8,0,43,43,7.9,127
5,Mason Crosby,K,GB,16,26,32.5,81.2,0,48,49,7.9,126
6,Dustin Hopkins,K,WAS,16,28,34.7,80,0,41,42,7.8,125
7,Adam Vinatieri,K,IND,16,27,34,79.4,0,43,44,7.8,124
8,Graham Gano,K,CAR,16,27,34.8,77.1,0,40,41,7.6,121
9,Josh Lambo,K,LAC,16,26,32,81.2,0,43,44,7.6,121
10,Blair Walsh,K,SEA,16,27,33.2,81.8,0,39,40,7.5,120
11,Sebastian Janikowski,K,OAK,16,26,30.4,86.7,0,42,42,7.5,120
12,Wil Lutz,K,NO,16,24,27.8,85.7,0,48,48,7.5,120
13,Chris Boswell,K,PIT,16,26,30.9,83.9,0,41,41,7.4,119
14,Caleb Sturgis,K,PHI,16,27,34.3,79.4,0,38,39,7.4,119
15,Cairo Santos,K,KC,16,27,34,79.4,0,37,38,7.4,118
16,Brandon McManus,K,DEN,16,27,31.1,87.1,0,36,36,7.3,117
17,Matt Prater,K,DET,16,26,32,81.2,0,38,39,7.2,116
18,Phil Dawson,K,ARI,16,25,31.8,78.1,0,41,42,7.2,116
19,Nick Folk,K,TB,16,25,32.3,78.1,0,39,40,7.1,114
20,Nick Novak,K,HOU,16,27,32.4,84.4,0,33,33,7.1,114
21,Kai Forbath,K,MIN,16,26,30.9,83.9,0,36,36,7.1,114
22,Randy Bullock,K,CIN,16,26,30.9,83.9,0,36,36,7.1,114
23,Steven Hauschka,K,BUF,16,25,29.3,86.2,0,38,38,7.1,113
24,Ryan Succop,K,TEN,16,24,31,77.4,0,40,41,7,112
25,Jason Myers,K,JAX,16,24,28.6,82.8,0,34,34,6.6,106
26,Andrew Franks,K,MIA,16,21,26.7,77.8,0,37,38,6.2,100
27,Greg Zuerlein,K,LAR,16,23,29.2,79.3,0,30,31,6.2,99
28,Jake Elliott,K,CIN,16,21,24.8,84,0,35,35,6.1,98
29,Robbie Gould,K,SF,16,22,26.4,84.6,0,31,31,6.1,97
30,Chandler Catanzaro,K,NYJ,16,22,28.4,78.6,0,28,29,5.9,94
31,Connor Barth,K,CHI,16,21,24.2,87.5,0,31,31,5.9,94
32,Cody Parkey,K,CLE,16,22,27.9,78.6,0,27,28,5.8,93
33,Zane Gonzalez,K,CLE,16,20,23.2,87,0,26,26,5.4,86
34,Mike Nugent,K,NYG,16,16,19.2,84.2,0,28,28,4.8,76
35,Aldrick Rosas,K,NYG,16,13,15.6,81.2,0,20,20,3.7,59
36,Harrison Butker,K,CAR,16,11,14.2,78.6,0,16,17,3.1,49
37,Roberto Aguayo,K,CHI,16,3,3.7,75,0,6,7,0.9,15
38,Nick Rose,K,SF,16,0,0,0,0,0,0,0,0
